state,district,fy_2023_obligations,fy_2024_obligations,fy_2025_obligations
RI,RI-02,304195.00,0.00,0.00
SC,SC-01,12500.00,0.00,0.00
SC,SC-02,101345.00,14050.00,20389.00
SC,SC-03,351124.00,93570.00,66940.00
SC,SC-05,21598.00,0.00,15100.00
SC,SC-06,11210.00,0.00,0.00
SD,SD-00,492559.00,499819.00,497375.00
TN,TN-01,89292.00,152657.51,89824.17
TN,TN-02,368257.77,16200.00,377912.00
TN,TN-03,41400.00,100580.68,119770.21
TN,TN-04,308684178.86,470586647.22,580281983.95
TN,TN-05,0.00,0.00,-7108.74
TN,TN-06,309284021.47,1755753.65,0.00
TN,TN-07,0.00,0.00,16659.30
TN,TN-08,0.00,0.00,249900.00
TN,TN-09,1460.37,1086.23,249900.00
TX,TX-02,18305.72,15000.00,12000.00
TX,TX-04,300982.85,317506.68,172615.18
TX,TX-07,3762045.36,1872112.09,25272.28
TX,TX-08,3662595.20,2272751.85,6667480.14
TX,TX-09,0.00,40685.00,62192.00
TX,TX-10,0.00,0.00,0.00
TX,TX-11,0.00,0.00,6651070.14
TX,TX-12,3734250.50,2294131.55,0.00
TX,TX-13,84013.95,0.00,0.00
TX,TX-14,15500.00,437691.00,117183.80
TX,TX-16,55000.00,55000.00,64358.00
TX,TX-17,60724.75,750.00,0.00
TX,TX-18,1407359.00,1125130.16,1624264.14
TX,TX-19,83036.00,81677.00,181976.00
TX,TX-20,500000.00,640000.00,1041170.58
TX,TX-21,302343.09,310961.00,307803.47
TX,TX-22,24000.00,25000.00,0.00
TX,TX-23,2301056.67,7820453.20,0.00
TX,TX-24,76596.01,68721.96,0.00
TX,TX-25,0.00,309800.00,-120.94
TX,TX-26,0.00,54748.64,15867.00
TX,TX-27,0.00,16135.00,0.00
TX,TX-28,356451.37,9062916.99,12521052.90
TX,TX-29,182961.00,185411.95,394280.44
TX,TX-30,0.00,0.00,0.00
TX,TX-31,0.00,18617.13,4599086.54
TX,TX-33,0.00,80698.77,0.00
TX,TX-35,0.00,0.00,15970.94
TX,TX-36,370459451.67,345262337.20,381548747.59
TX,TX-37,262413.10,247804.00,244085.00
TX,TX-38,14547.00,2002876.98,5329349.32
UT,UT-01,383015297.00,444892058.41,287277175.91
UT,UT-02,314983.00,11852.00,378374.00
UT,UT-03,0.00,648600.00,298059.40
VA,VA-01,18142.00,60240.00,0.00
VA,VA-02,166680.00,44608.36,571869.64
VA,VA-03,12245054.78,15962886.18,18257054.78
VA,VA-04,22000.00,0.00,35512.00
VA,VA-05,827843.67,173575.44,334564.11
VA,VA-06,126314.28,0.00,0.00
VA,VA-07,517985.00,331801.88,111246.90
VA,VA-08,7278961.92,3285901.02,6397284.10
VA,VA-09,69846.91,8421.39,0.00
VA,VA-10,257409626.51,156471032.80,327859717.77
VA,VA-11,406025606.13,440920875.32,427600752.57
VI,VI-00,0.00,0.00,0.00
VT,VT-00,0.00,803955.00,287277.00
WA,WA-01,54988050.88,58246646.85,76244730.00
WA,WA-02,0.00,45058.09,81088.16
WA,WA-03,26680.00,0.00,0.00
WA,WA-04,19900.00,0.00,0.00
WA,WA-07,0.00,140950.00,135192.22
WA,WA-09,425270877.52,483146864.00,768377888.05
WA,WA-10,31830.00,0.00,0.00
WI,WI-01,24000.00,0.00,0.00
WI,WI-02,278542.00,3026598.00,3297881.41
WI,WI-04,0.00,0.00,-0.09
WI,WI-05,75000.00,0.00,0.00
WI,WI-07,0.00,0.00,47500.00
WV,WV-01,0.00,0.00,31350.00
WV,WV-02,1825812.00,2934071.85,1133800.00
WY,WY-00,0.00,36870.00,47420.00
