state,district,fy_2023_obligations,fy_2024_obligations,fy_2025_obligations
NY,NY-24,-45245.68,-59236.20,107563.20
NY,NY-25,48872820.97,42822489.51,6064103.58
NY,NY-26,1374244.54,689771.75,746836.22
OH,OH-01,1597354.67,2667416.86,955607.25
OH,OH-02,15525.00,0.00,0.00
OH,OH-03,3996924.76,6599081.74,7747689.29
OH,OH-04,6367800.98,172690.00,0.00
OH,OH-05,0.00,0.00,-3033.14
OH,OH-06,0.00,0.00,0.00
OH,OH-07,3523204.86,3763853.78,2106636.78
OH,OH-08,81220.79,2319.92,45374.40
OH,OH-09,8664993.98,8652538.08,11018399.42
OH,OH-10,0.00,46283.97,60012.33
OH,OH-11,2747005.89,4774834.59,7551125.97
OH,OH-12,1558743.92,762125.11,334832.02
OH,OH-13,1081039.00,9035.00,-514694.74
OH,OH-14,325056.99,65258.85,54698.05
OH,OH-15,225600.00,67000.00,0.00
OK,OK-01,0.00,4222.00,0.00
OK,OK-02,0.00,0.00,0.00
OK,OK-03,1337621.00,2171812.00,215122.19
OK,OK-04,26349511.51,2553609.43,3143779.09
OK,OK-05,133497.00,209749.00,160458.00
OR,OR-01,1607544.60,2769724.81,3230209.47
OR,OR-02,19528.00,271665.04,-41.63
OR,OR-03,887813.00,0.00,0.00
OR,OR-04,6188518.20,6869274.94,5594236.35
OR,OR-05,349435.00,149903.00,89961.00
OR,OR-06,0.00,25286.00,29617.70
PA,PA-01,12395.00,27932.20,15651.00
PA,PA-02,144890.00,-79100.79,0.00
PA,PA-03,1118983.34,771486.40,1156126.96
PA,PA-04,47490.00,419448.28,74992.00
PA,PA-05,273203.46,948419.60,1000125.68
PA,PA-06,171782.33,117795.48,134081.40
PA,PA-07,200381.67,239873.90,433523.60
PA,PA-08,296281.00,21567.00,0.00
PA,PA-09,0.00,0.00,0.00
PA,PA-10,97604.00,10659.71,0.00
PA,PA-11,2462725.00,155114.12,0.00
PA,PA-12,57640690.66,-4095163.71,9352677.87
PA,PA-13,24691.00,44398.00,5225.00
PA,PA-14,1201029.19,1173230.30,1042745.54
PA,PA-15,7855407.29,12089617.83,17079048.40
PA,PA-16,26819.00,28231.00,343882.39
PA,PA-17,52635.68,0.00,0.00
PR,PR-00,963761.97,1552822.21,909662.34
RI,RI-01,3586309.30,5960859.00,3368792.79
RI,RI-02,707185.00,1026509.40,1220066.72
SC,SC-01,0.00,0.00,0.00
SC,SC-02,-1825.17,0.00,0.00
SC,SC-03,1479615.89,3018085.79,3222276.87
SC,SC-04,498127.00,4373000.00,1221780.14
SC,SC-05,15800.00,0.00,40092.10
SC,SC-06,321964.00,492675.50,731007.95
SC,SC-07,0.00,0.00,0.00
SD,SD-00,724818.95,544819.16,928671.00
TN,TN-01,0.00,49500.00,0.00
TN,TN-02,889254.00,536150.99,594734.88
TN,TN-03,24429826.67,18219642.73,23321731.00
TN,TN-04,57746268.57,61041973.45,39239518.74
TN,TN-05,724504.16,489712.00,513214.66
TN,TN-06,58313205.85,1408182.00,42431.00
TN,TN-07,0.00,556318.00,1202692.18
TN,TN-08,0.00,0.00,0.00
TN,TN-09,156032.93,159230.98,0.00
TX,TX-01,100000.00,103246.00,132308.00
TX,TX-02,49342.16,84746.13,10375.00
TX,TX-03,465440.99,428179.00,1299805.13
TX,TX-04,436961.61,1071186.30,294440.38
TX,TX-05,0.00,0.00,0.00
TX,TX-06,39043989.75,49335054.41,44534451.39
TX,TX-07,2249145.78,616150.84,2017946.08
TX,TX-08,786468.93,688455.40,116853.03
TX,TX-09,0.00,12210.00,61908.00
TX,TX-10,4332817.33,2800077.34,3927225.66
TX,TX-11,0.00,0.00,116853.03
TX,TX-12,961620.93,719525.41,0.00
TX,TX-13,204733.45,318090.45,-2211.91
TX,TX-14,59852.00,433970.00,-216986.00
TX,TX-15,311714.87,914380.82,972217.76
TX,TX-16,188080.00,-1722.13,312884.00
TX,TX-17,244514.93,228482.01,349875.65
